#{"t_start": 1669935032.9009788, "env_id": null}
r,l,t
-5,751,883.710118
-2,1088,884.487184
-1,930,885.138807
-2,744,885.707705
-3,799,886.256934
-2,761,886.819042
-1,1025,887.562088
-4,585,887.987385
5,510,888.354407
-3,866,888.977605
-3,724,889.548359
1,1257,890.456432
-5,423,890.769413
-4,678,891.248376
3,738,891.760956
2,772,892.295085
-3,686,892.775009
-4,747,893.349565
-1,975,894.105871
-5,551,895.083945
-4,646,895.607543
-3,557,896.006538
-2,692,896.502895
2,879,897.142407
-4,853,897.739012
-4,508,898.108289
-5,784,898.978199
-2,807,899.620803
-4,572,900.068606
-4,734,900.736896
-3,908,901.409098
-5,496,901.756169
-2,671,902.29872
-3,837,902.882159
-3,860,903.482551
-3,969,904.437728
-3,1106,905.482071
-2,914,906.356574
-3,749,907.034271
-3,660,907.618708
-1,804,908.350858
1,900,909.236194
-5,448,909.670932
-2,872,910.529069
-1,1035,911.51958
-5,372,911.880179
-3,756,912.562378
-4,545,913.056123
1,1031,913.9617
-4,704,914.599625
-5,769,915.33108
-4,686,916.02738
3,688,916.705776
-3,686,917.389553
-2,767,918.102296
-2,695,918.737975
-4,565,919.235644
-4,533,919.79217
-3,641,920.385567
-1,995,921.266324
-1,859,922.048465
-4,513,922.535725
-2,775,923.238095
-3,615,923.824814
1,923,924.8658
-3,695,925.556626
-4,557,926.126013
-4,683,926.735441
3,642,927.354068
-4,549,927.902584
-3,573,928.443595
-3,689,929.072624
-5,531,929.578197
-4,524,930.034977
-5,434,930.433097
3,829,931.291751
-2,781,932.018152
-3,643,932.592615
-2,852,933.354621
-4,640,933.929085
-1,943,934.846142
-2,748,935.53428
-3,640,936.098929
-2,912,936.960977
-1,827,937.75036
1,866,938.567941
-5,385,938.918987
-2,832,939.689238
-1,962,940.645832
-3,549,941.224192
-1,986,942.174595
-4,501,942.620041
-5,623,943.174536
-5,578,943.686168
-5,786,944.402491
-1,956,945.280964
-4,551,945.854016
-4,486,946.300814
-2,811,947.030946
-1,852,947.825758
-4,551,948.387643
-4,571,948.921013
-3,776,949.648264
-5,509,950.09906
3,670,950.704092
-3,762,951.37131
-5,514,951.823101
-1,742,952.545668
-4,636,953.130787
-3,625,953.681314
-3,681,954.280714
2,1030,955.194268
5,460,955.663481
1,1062,956.606918
-1,743,957.361391
-3,619,957.931995
-4,661,958.557675
-4,594,959.081074
-1,745,959.810264
-2,846,960.599559
-2,778,961.296343
-4,573,961.807975
-2,858,962.572784
4,735,963.222048
-3,709,963.855335
-4,694,964.4796
-5,442,964.922186
-3,784,965.645607
-4,594,966.215411
-3,633,966.870657
-5,514,967.420024
-3,757,968.113388
-1,774,968.84093
-3,746,969.52224
-4,692,970.21008
-5,574,970.74244
-4,884,971.551903
-4,902,972.360974
-2,827,973.209024
-2,877,974.035267
-2,1079,975.1226
-3,694,975.746273
-1,789,976.452475
2,877,977.251339
-3,680,977.884128
-2,852,978.675523
-2,791,979.389875
-3,690,980.033805
-1,780,980.741677
-3,751,981.417726
-4,496,981.856007
-5,751,982.535215
-3,643,983.118229
-2,929,983.960755
-4,513,984.413842
-1,865,985.254142
-1,820,985.998023
-2,623,986.592783
-1,993,987.534424
-1,857,988.297916
1,821,989.072811
-5,563,989.644715
-1,884,990.479178
-3,589,991.040183
-4,524,991.531452
-3,633,992.108996
-4,592,992.644186
-1,876,993.428402
3,683,994.090685
-1,995,994.998986
-2,967,995.963299
-4,553,996.478666
-2,732,997.697608
-2,651,998.147631
3,694,998.633503
-3,572,999.03681
2,819,999.630084
-2,1055,1000.368373
-4,663,1000.817557
-3,606,1001.22846
-5,628,1001.688848
1,835,1003.463949
1,1079,1004.250232
-2,832,1004.857665
-5,422,1005.172821
-4,531,1005.55863
4,570,1005.96905
-5,451,1006.298738
-3,625,1006.764186
-4,527,1007.131401
-4,671,1007.65593
3,722,1008.195282
3,655,1008.642426
1,882,1009.255374
-3,584,1009.663665
-4,518,1010.036121
-2,897,1010.689417
-3,824,1011.261478
5,528,1011.635965
-4,717,1012.139565
1,1041,1012.850596
-4,504,1013.25893
2,770,1013.81086
-3,804,1014.387966
5,463,1014.707244
-1,771,1015.24872
-1,983,1015.95568
-2,729,1016.45611
-2,668,1016.934322
1,969,1017.657427
-1,972,1018.347574
-3,641,1018.803871
1,991,1019.523119
-2,860,1020.126368
-1,1028,1020.884728
-2,747,1021.46182
-2,705,1021.952529
-3,781,1022.508027
1,767,1023.060967
-1,988,1023.784439
1,756,1024.32948
1,1084,1025.092068
1,929,1025.770778
-1,795,1026.348783
-4,517,1026.722237
-4,581,1027.122266
1,907,1027.786738
-4,553,1028.183643
2,682,1028.679334
-1,760,1029.235701
-3,638,1029.699856
4,649,1030.157406
-5,477,1030.484991
-2,868,1031.114296
-5,500,1031.479588
1,843,1032.073111
-1,947,1032.742115
-2,732,1033.266331
-4,471,1033.603856
-5,489,1033.953451
-5,426,1034.249768
-4,557,1034.662273
-3,678,1035.156124
-4,475,1035.498824
1,1110,1036.296718
-3,698,1036.783624
-2,784,1037.375469
-2,852,1037.986293
-5,575,1038.381236
-3,663,1038.84745
1,1255,1039.75311
4,697,1040.258278
-4,507,1040.628011
-5,462,1040.958349
-4,511,1041.324046
-2,808,1041.932065
-4,570,1042.331406
-1,950,1042.99687
-2,803,1043.566127
-5,465,1043.880293
-5,393,1044.146779
-2,613,1044.595462
-1,1216,1045.472782
-3,696,1045.959885
-1,834,1046.562799
-5,503,1046.93004
3,879,1047.567524
1,858,1048.173634
-5,479,1048.525655
-2,966,1049.305686
-3,564,1049.739175
3,774,1050.340442
-4,468,1050.852715
-4,618,1051.566386
-3,629,1052.27692
-3,638,1053.209668
2,831,1054.114042
-3,647,1054.992687
-1,825,1056.03889
-2,687,1056.979373
2,819,1057.805864
-2,863,1058.869889
-3,715,1059.7008
2,729,1060.454784
-2,794,1061.256639
-1,808,1062.239184
-1,884,1063.390106
-3,786,1064.48418
-1,749,1065.423725
-2,814,1066.595592
1,923,1067.797378
3,743,1068.639125
-5,492,1069.185662
-4,603,1069.793408
-4,537,1070.386815
-2,866,1071.456927
-2,851,1072.628791
-5,497,1073.282044
-2,689,1074.307303
-4,514,1075.050314
-2,838,1076.176849
-5,422,1076.615674
-4,667,1077.384173
-4,722,1078.269274
-2,691,1079.141194
3,759,1079.994943
-3,663,1080.767843
-3,660,1081.571693
-5,446,1082.035453
-3,731,1082.868225
2,878,1083.852641
-4,543,1084.43606
-5,467,1084.989552
5,742,1086.171677
2,700,1088.916788
-1,1198,1094.135367
-3,761,1096.633629
-4,765,1097.549675
-2,840,1098.454769
2,815,1099.486801
-5,678,1100.309371
-4,669,1101.064859
-3,598,1101.731608
4,593,1102.386768
-4,493,1102.971244
-2,844,1104.217474
-5,436,1105.024446
-2,953,1106.72131
-2,742,1108.049828
-4,506,1108.53598
-3,637,1109.188839
5,523,1109.77081
-3,680,1110.454191
1,1095,1111.559418
-3,674,1112.200699
-1,764,1112.915142
-1,892,1113.821942
-5,479,1114.295362
3,691,1115.008297
-3,830,1115.856431
-2,858,1116.644324
2,847,1117.484834
-3,664,1118.139811
-4,601,1118.774476
-2,861,1119.610139
1,975,1120.563877
-4,526,1121.100914
-1,872,1121.905627
-5,512,1122.376369
-4,636,1122.960495
1,875,1123.822843
1,959,1124.740462
-5,471,1125.205858
-1,810,1126.038244
-5,389,1126.43526
-1,859,1127.365932
-3,785,1128.202186
-3,585,1128.803564
-1,788,1129.624173
-2,732,1130.34836
-4,766,1131.062466
-4,682,1131.68678
-4,468,1132.155705
4,637,1132.799941
-3,651,1133.497717
1,912,1134.342532
-1,880,1135.262075
-4,553,1135.822558
-5,579,1136.419955
-1,1040,1137.530621
-5,672,1138.149697
-4,905,1138.979478
1,931,1139.8177
-4,612,1140.431042
-5,473,1140.900819
1,849,1141.69158
-4,504,1142.144371
2,936,1142.993555
-3,620,1143.549002
-2,788,1144.257687
-5,768,1144.961896
-3,664,1145.608985
-2,887,1146.445598
-5,449,1146.900497
-1,746,1147.696467
-3,653,1148.332187
-4,520,1148.789964
-4,664,1149.475444
-1,874,1150.333981
-3,730,1151.0445
-2,929,1151.881713
-3,621,1152.43222
-1,917,1153.265286
3,609,1153.832607
-3,782,1154.635701
-2,939,1155.590389
1,874,1156.46106
-4,628,1157.090445
-2,813,1157.878074
-4,455,1158.308914
-1,850,1159.102834
2,787,1159.899077
1,995,1161.078161
-4,614,1161.685522
-1,842,1162.458171
4,633,1163.035625
-3,727,1163.690874
-5,386,1164.047036
-5,515,1164.519485
-2,826,1165.355497
-3,722,1166.021011
-4,524,1166.775595
2,723,1167.3323
-4,491,1167.679836
-4,590,1168.104921
-4,548,1168.501428
-4,642,1168.971219
-4,624,1169.416007
3,833,1171.067784
-4,571,1171.45838
-5,458,1171.786875
-1,847,1172.385202
-3,602,1172.853603
-3,785,1173.403594
-3,671,1173.880753
-4,599,1174.313497
-2,716,1174.841125
-5,451,1175.171054
-5,494,1175.538439
-3,744,1176.071708
-4,537,1176.445394
-1,1163,1177.283875
-4,519,1177.657673
-1,885,1178.297289
-2,776,1178.871103
-5,515,1179.241918
-2,750,1179.795805
-1,868,1180.408353
-1,863,1181.046569
-4,717,1181.558979
-5,554,1181.965504
-4,600,1182.393105
-3,697,1182.898886
-3,862,1183.514541
-5,405,1183.793793
-2,883,1184.405005
-2,717,1184.908955
-5,472,1185.246809
-4,794,1185.810264
-2,816,1186.367555
-4,702,1186.929723
2,798,1187.56708
-5,379,1187.847315
-3,741,1188.38032
-4,534,1188.756313
-3,693,1189.325024
-4,561,1189.798555
-4,530,1190.25266
1,931,1191.06799
-2,742,1191.596409
-3,666,1192.068714
-2,890,1192.706642
-3,750,1193.248338
-4,749,1193.835436
-2,797,1194.450474
-5,393,1194.749016
-2,811,1195.407368
-5,542,1195.779375
-2,898,1196.43839
-5,609,1196.929557
-3,670,1197.457142
-3,713,1197.947767
1,810,1198.528688
-5,410,1198.819098
-2,713,1199.303803
-4,743,1199.832443
-3,674,1200.328224
-4,464,1200.656543
-4,626,1202.413125
-3,899,1203.116114
-3,792,1203.758638
-4,477,1204.141614
-5,450,1204.501313
-3,642,1204.950101
-3,792,1205.505615
-4,536,1205.912189
-5,518,1206.28406
-4,615,1206.71391
-4,534,1207.097348
-2,725,1207.613824
-4,530,1207.980842
-5,687,1208.466543
-2,854,1209.065941
1,853,1209.702348
-4,698,1210.206364
-2,787,1210.758432
-5,385,1211.034904
-3,933,1211.738975
1,884,1212.38214
-4,511,1212.758369
-1,887,1213.514515
-4,509,1213.923404
-3,654,1214.4301
-3,672,1214.917795
-4,686,1215.455356
-5,518,1215.873239
-4,605,1216.340989
1,958,1217.106565
3,674,1217.63862
5,483,1218.014608
-3,625,1218.536213
1,951,1219.567134
-4,746,1220.330934
2,938,1221.286667
-4,512,1221.838541
-2,943,1222.803271
-5,553,1223.357664
-2,687,1224.139678
-1,782,1224.972692
-5,451,1225.43665
-1,771,1226.164027
1,1111,1227.245646
-2,840,1228.063003
-4,557,1228.571643
-3,772,1229.359179
-4,627,1229.957819
-2,876,1230.806746
-1,846,1231.625949
-3,679,1232.270155
2,706,1232.921056
-2,664,1233.550595
-5,427,1233.945491
1,1151,1235.031893
-5,447,1235.499865
-3,767,1236.244299
-2,720,1236.953014
-4,532,1237.513259
-3,634,1238.135648
-5,531,1238.662495
-5,382,1239.016989
1,1015,1240.020313
-4,579,1240.571519
-5,571,1241.125187
-4,516,1241.657588
-3,756,1242.455006
-1,768,1243.218657
-4,504,1243.688452
-4,512,1244.154276
-3,828,1244.965858
-4,536,1245.541139
1,843,1246.373483
-1,933,1247.265641
-5,467,1247.740573
-2,862,1248.53477
-5,427,1248.922732
-3,624,1249.497195
-3,693,1250.130665
-2,724,1250.859055
-3,600,1251.440773
-3,639,1252.06226
1,959,1252.968241
-3,710,1253.646795
-3,660,1254.254171
-4,678,1254.908407
-3,616,1255.549848
-5,454,1256.023557
-1,960,1257.00876
-5,528,1257.580321
-4,525,1258.079203
1,813,1258.937993
3,693,1259.638305
-3,812,1260.375881
-1,907,1261.283085
-3,685,1261.910648
-5,588,1262.546566
1,1121,1263.559369
5,448,1263.964283
1,940,1264.820992
-2,867,1265.600932
-2,720,1266.267034
-2,741,1267.004508
-4,556,1267.543662
-5,490,1267.993459
-3,577,1268.525038
-2,743,1269.225183
3,574,1269.798482
-2,714,1270.495805
1,1002,1271.437811
-5,641,1272.069182
3,587,1272.637773
-3,950,1273.506602
-1,922,1274.412387
-4,523,1274.886909
-5,438,1275.303916
-4,505,1275.772959
2,827,1276.56894
-3,589,1277.220476
-2,767,1277.955385
-4,714,1278.706906
-2,942,1279.645227
-2,723,1280.386472
-3,645,1281.050894
-4,664,1281.690697
-3,644,1282.314669
-2,817,1283.06248
-2,696,1283.734047
-5,489,1284.202894
-1,865,1284.990705
-2,695,1285.655134
2,798,1286.45592
2,774,1287.178986
-2,746,1287.864031
-2,801,1288.64185
-1,869,1289.467756
-5,504,1289.925035
-2,680,1290.551496
5,528,1291.050509
3,689,1291.702579
-3,782,1292.492551
-3,740,1293.297359
-3,796,1294.116567
-5,461,1294.602547
-1,1143,1295.742168
3,675,1296.386222
-5,507,1296.90321
-4,607,1297.499432
4,668,1298.11671
-2,776,1298.87283
-2,661,1299.487592
-4,744,1300.170603
2,761,1300.882704
-2,832,1301.748876
-5,438,1302.289662
-5,438,1302.770772
2,679,1303.536688
-3,583,1304.110853
-3,987,1305.165615
-1,984,1306.191578
-2,847,1307.034611
4,845,1307.888209
-1,876,1308.69104
1,843,1309.559635
-3,647,1310.241261
2,818,1311.10945
-4,618,1311.686887
-3,711,1312.319799
-2,814,1313.042889
3,734,1313.700648
-2,700,1314.343749
-2,861,1315.174396
-3,676,1315.785835
-4,542,1316.272484
-4,483,1316.696135
-3,678,1317.178476
-3,726,1317.697284
-2,814,1318.293371
-4,532,1318.689566
-2,685,1319.189868
-4,520,1319.565891
2,718,1320.086152
-4,619,1320.517998
-1,937,1321.240081
1,961,1322.020797
-3,585,1322.604714
-3,670,1323.090413
-1,790,1323.665079
-5,471,1324.05563
-2,711,1324.627927
2,822,1325.333638
-4,559,1325.750707
-3,666,1326.27176
-1,840,1326.927505
-2,827,1327.553438
-2,833,1328.198593
-1,992,1329.014215
-2,782,1329.691928
1,978,1330.553599
-1,900,1331.320935
-4,539,1331.743619
-3,541,1332.191422
-3,838,1332.871209
-2,800,1333.489555
-5,414,1333.804711
-4,503,1334.187685
-2,864,1334.820992
-2,661,1335.29274
-3,636,1335.744908
-2,825,1336.333136
-1,795,1336.88496
-3,555,1337.27054
-5,445,1337.602845
-4,677,1338.166209
-4,539,1338.579525
-4,553,1338.983341
2,811,1339.626582
-1,1018,1340.488802
-2,832,1341.19879
-2,859,1341.864222
-2,793,1342.468473
-3,679,1342.95869
2,733,1343.477345
-4,563,1343.900226
1,797,1344.509569
-4,521,1344.891546
-3,617,1345.337962
-5,407,1345.643206
-3,638,1346.143805
1,971,1346.887302
-1,903,1347.593001
-3,668,1348.108561
-2,890,1348.788742
-3,697,1349.283418
-2,688,1349.803054
-3,562,1350.233876
-3,642,1350.744454
-4,569,1351.195302
-2,822,1351.821224
-5,545,1352.223787
-5,455,1352.574659
2,769,1353.175322
-1,833,1353.782572
-3,675,1354.331917
-3,620,1354.805428
1,984,1355.560773
2,796,1356.174474
-5,376,1356.456919
-5,442,1356.842818
-4,587,1357.352219
1,920,1358.051522
-3,599,1358.560019
-3,673,1359.131206
-1,788,1359.783068
-3,614,1360.26179
-3,733,1360.821134
-4,660,1361.416545
-3,636,1361.885293
-1,925,1362.594282
4,599,1363.070916
-4,492,1363.42895
-4,491,1363.811445
-4,595,1364.234316
-1,1110,1365.039163
-5,363,1365.30759
-3,653,1365.842692
-3,556,1366.263778
-3,703,1366.825877
3,691,1367.363812
-3,612,1367.84301
-4,497,1368.217305
2,921,1368.892786
-3,726,1369.410403
3,705,1369.922033
-4,834,1370.721397
-1,830,1371.573117
-3,604,1372.158914
-1,904,1373.097328
-5,497,1373.631371
-1,880,1374.59551
-4,572,1375.211741
-3,563,1375.807883
-2,913,1376.745374
-2,794,1377.623028
-5,397,1378.100751
-2,636,1378.785925
-2,638,1379.430729
1,826,1380.342491
-1,861,1381.189728
-2,774,1381.952698
-4,573,1382.482279
-1,839,1383.297315
-4,604,1383.861805
-5,466,1384.288663
3,627,1384.86876
1,820,1385.668924
2,778,1386.453797
-1,805,1387.264882
-2,712,1387.982155
-4,475,1388.47283
2,818,1389.391931
1,879,1390.220128
-2,778,1390.999412
1,1019,1391.998786
1,1000,1393.048901
-3,811,1393.93417
-3,698,1394.687856
-3,596,1395.299485
-3,766,1396.073935
-3,646,1396.710121
-1,933,1397.662902
1,910,1398.527101
1,753,1399.292687
-4,561,1399.903468
1,1156,1401.189158
-3,680,1401.912099
-2,780,1402.694122
-3,811,1403.503849
-1,1024,1404.561685
-2,741,1405.386773
-2,888,1406.253968
-3,616,1406.892948
-4,852,1407.821967
-3,630,1408.433331
-3,685,1409.12839
-3,648,1409.790702
-1,985,1410.803998
1,936,1411.703753
2,674,1412.358003
-3,671,1413.031505
-5,406,1413.462246
2,747,1414.202004
-2,813,1415.012244
-2,835,1415.903947
-3,581,1416.467076
-3,599,1417.017592
-4,715,1417.67183
-5,439,1418.072781
-1,739,1418.825859
1,826,1419.635005
-4,484,1420.095775
-3,645,1420.694173
1,892,1421.605051
-3,653,1422.249779
-4,505,1422.73947
2,768,1423.457835
-5,556,1423.962862
-4,617,1424.52436
-1,1042,1425.645967
-3,822,1426.451064
-4,510,1426.987142
-4,690,1427.640682
1,823,1428.437443
1,932,1429.562389
-4,604,1430.158045
-3,649,1430.782516
4,536,1431.323046
2,722,1432.03704
-1,819,1432.837542
3,598,1433.417304
-3,715,1434.100161
-4,538,1434.605442
-2,656,1435.204854
3,629,1435.818254
-2,800,1436.622149
2,737,1437.452005
2,870,1438.319345
1,948,1439.318815
-2,684,1439.955227
-4,521,1440.463865
1,929,1441.48608
-4,540,1442.021649
-5,433,1442.419583
-4,542,1442.964128
-1,1008,1443.9757
-4,529,1444.520268
1,912,1445.383942
2,742,1446.136021
-3,715,1446.870033
-4,787,1447.636106
-4,495,1448.166048
-4,525,1448.681666
-1,957,1449.630362
3,843,1450.4816
-3,583,1451.039418
-2,890,1451.897147
-3,637,1452.481565
2,852,1453.39499
-1,814,1454.1822
-3,679,1454.874549
-2,1077,1456.019321
2,892,1456.837072
-4,692,1457.467387
-4,524,1457.948812
-3,699,1458.589089
1,821,1459.41624
-4,555,1459.997559
-1,784,1460.754464
4,550,1461.289013
-2,772,1462.007363
-2,861,1462.798129
-3,622,1463.36262
-4,657,1463.989104
-5,455,1464.434456
-1,1092,1465.452717
1,892,1466.262551
-2,787,1466.970657
-4,498,1467.496251
-2,717,1468.201324
-4,509,1468.688589
3,646,1469.333925
-3,648,1469.936879
-2,779,1470.526768
-5,392,1470.852496
2,872,1471.517311
-1,912,1472.201763
-4,694,1472.709536
-1,860,1473.340341
-1,943,1474.05133
3,601,1474.513434
-2,836,1475.135493
-4,624,1475.5754
2,767,1476.150719
-4,550,1476.594586
-1,842,1477.238531
1,905,1477.88349
-4,550,1478.278028
4,827,1478.89642
-2,674,1479.388737
3,642,1479.866794
-1,841,1480.480852
2,738,1481.008732
3,734,1481.546233
-5,475,1481.92221
-5,500,1482.300495
3,948,1483.004422
-3,659,1483.505285
1,861,1484.172893
3,611,1484.640308
-4,599,1485.134258
-4,528,1485.591745
2,737,1486.137591
1,964,1486.857949
-5,520,1487.254426
-4,530,1487.671267
-4,531,1488.064994
-2,885,1488.780493
2,667,1489.292228
-1,891,1489.972677
3,668,1490.45695
-2,667,1490.95145
2,742,1491.508706
-1,838,1492.136543
-2,723,1492.643437
-2,740,1493.161053
-2,943,1493.835568
2,787,1494.387856
3,788,1494.984321
-2,713,1495.518271
-2,801,1496.122505
-3,683,1496.642021
-1,918,1497.291162
-2,813,1497.916319
-3,726,1498.448591
-4,523,1498.81546
3,754,1499.35482
-4,559,1499.743547
-2,660,1500.202245
1,849,1500.827348
-3,755,1501.424852
-5,502,1501.769999
-1,800,1502.377366
-4,512,1502.767706
-2,671,1503.263678
-4,534,1503.639467
-4,541,1504.011474
-4,575,1504.439362
2,669,1504.968116
-4,562,1505.385998
-2,692,1505.924565
2,866,1506.62569
-2,710,1507.151276
-3,575,1507.561478
-4,667,1508.097046
-1,936,1508.821109
-4,624,1509.287861
-1,976,1510.051817
-4,480,1510.433796
-2,782,1511.054138
-1,920,1511.752106
-3,572,1512.166335
5,510,1512.548134
-4,486,1512.891965
-1,762,1513.431626
-5,442,1513.747045
-5,569,1514.152326
-2,687,1514.658601
-4,507,1515.00667
-2,915,1515.682321
-4,547,1516.073524
1,726,1516.621131
2,785,1517.247806
-1,841,1517.862351
3,657,1518.368616
1,887,1519.012739
-1,941,1519.733812
-2,769,1520.321323
-2,762,1520.909323
-4,571,1521.364694
1,881,1522.122886
-1,758,1522.675522
2,919,1523.373759
-2,894,1524.260123
1,797,1525.016785
-2,841,1525.833869
-4,516,1526.368429
1,897,1527.3003
4,605,1527.878147
-5,382,1528.226216
-4,464,1528.691041
1,957,1529.561366
-2,684,1530.199675
1,895,1531.130935
2,939,1532.056166
2,873,1532.895687
-4,520,1533.459987
-2,821,1534.302566
-1,1034,1535.356471
-2,724,1536.062078
-1,844,1536.908854
-3,768,1537.682149
3,679,1538.307144
-3,735,1538.984408
1,813,1539.784507
-2,801,1540.530231
-1,841,1541.36703
-3,592,1541.951786
-3,781,1542.6911
3,592,1543.266411
-5,431,1543.68729
-4,564,1544.229898
-4,518,1544.732371
-5,516,1545.228289
-2,850,1546.12848
-1,818,1546.933815
-5,401,1547.304823
-1,743,1548.063764
-1,1015,1549.072983
3,634,1549.677585
-3,744,1550.387856
-2,843,1551.151382
-1,892,1552.030317
-4,460,1552.493314
-2,1076,1553.496978
-3,671,1554.103055
2,897,1554.937553
-3,713,1555.59759
-3,876,1556.402418
-3,798,1557.177488
1,738,1557.911936
-5,468,1558.389948
2,674,1559.044341
4,551,1559.622177
-2,766,1560.353201
-5,478,1560.796996
-3,741,1561.562047
1,1085,1562.632327
-3,761,1563.321692
-4,546,1563.834344
-1,858,1564.706691
-4,521,1565.265924
-4,481,1565.755277
-5,515,1566.275815
-2,939,1567.225779
-1,1222,1568.561085
1,830,1569.352133
-1,871,1570.191491
-3,615,1570.748925
-3,688,1571.37226
-3,603,1571.947562
-3,657,1572.590417
-3,744,1573.328461
-3,684,1573.947122
-4,521,1574.418862
-4,539,1574.94458
-2,731,1575.668878
-4,464,1576.147392
-1,770,1576.941044
-3,863,1577.782369
2,722,1578.443018
-2,707,1579.08753
1,843,1579.868391
-2,846,1580.646494
-3,635,1581.296055
-3,606,1581.882632
-1,951,1582.81653
3,615,1583.431578
5,556,1583.991616
-5,423,1584.404171
-4,585,1584.974639
3,569,1585.563124
-4,453,1586.014442
-2,722,1586.728227
-1,774,1587.499857
-4,477,1587.994297
1,861,1588.878698
-2,737,1589.629377
-4,519,1590.134828
4,491,1590.608052
-2,699,1591.284105
-1,1049,1592.263994
-5,443,1592.672937
-2,746,1593.374426
-3,815,1594.165517
-2,814,1594.939119
-3,822,1595.693467
-3,650,1596.296266
-2,770,1597.070338
-2,876,1597.929453
-3,608,1598.545481
2,828,1599.400148
2,869,1600.204931
3,782,1600.938277
-3,669,1601.587488
-3,798,1602.40495
-5,540,1602.948463
-4,646,1603.579076
-1,806,1604.367428
-2,880,1605.221137
-2,679,1605.923276
-5,380,1606.278217
-1,989,1607.271129
-3,768,1608.064055
-1,867,1608.924993
-1,997,1609.893047
-5,538,1610.425503
-3,596,1610.98401
2,749,1611.699318
-1,1024,1612.663004
-1,752,1613.447963
-3,586,1613.98028
-2,666,1614.654687
-5,438,1615.078525
-5,399,1615.469415
2,787,1616.249763
-2,756,1617.038963
1,1029,1618.011884
-2,800,1618.765473
4,737,1619.510459
-2,713,1620.187809
-3,580,1620.740496
-4,547,1621.430453
2,836,1622.041442
1,780,1622.61726
-1,902,1623.255908
-2,635,1623.727704
-1,856,1624.361933
-4,608,1624.815418
-2,719,1625.355135
2,748,1625.914405
-1,887,1626.528762
-2,738,1627.077781
-1,828,1627.66375
-3,631,1628.104967
3,646,1628.56773
-2,669,1629.061623
3,624,1629.535288
-4,558,1629.936227
-4,593,1630.377469
-3,607,1630.830195
4,570,1631.252805
-2,873,1631.928411
-4,527,1632.309106
-2,762,1632.859454
1,964,1633.561751
-1,822,1634.146161
-2,782,1634.831249
2,800,1635.445803
-4,589,1635.948387
-4,480,1636.291469
-4,588,1636.727652
-1,777,1637.266211
2,724,1637.811118
-4,499,1638.19549
2,695,1638.721766
-3,727,1639.290246
3,688,1639.767967
-2,768,1640.411724
-2,723,1640.935444
-1,822,1641.526371
-5,427,1641.827943
-1,804,1642.435906
-1,812,1643.045348
-4,543,1643.449424
3,637,1643.919369
-4,558,1644.911419
-3,538,1645.326418
-3,602,1645.746785
-2,794,1646.364444
-5,419,1646.683292
-2,630,1647.160372
-3,670,1647.655397
-5,531,1648.062165
1,966,1648.750121
3,696,1649.242803
-4,554,1649.638744
1,819,1650.24657
1,869,1650.882611
4,604,1651.337824
-5,433,1651.669273
-1,803,1652.254451
-4,675,1652.748271
-2,784,1653.308907
-2,678,1653.801538
-5,414,1654.087773
-1,882,1654.714437
-2,748,1655.242244
2,748,1655.787355
-2,748,1656.328218
-3,746,1656.860731
-3,677,1657.347874
2,637,1657.819656
-3,674,1658.295977
2,703,1658.794947
-2,831,1659.378387
5,563,1659.802456
4,543,1660.208128
1,923,1660.864531
-2,708,1661.387774
-4,542,1661.767939
-3,702,1662.321941
4,574,1662.772618
-5,432,1663.072345
-3,666,1663.55976
-2,683,1664.055682
-5,424,1664.358331
-1,749,1664.87769
2,723,1665.396223
-5,446,1665.851294
-3,632,1666.349445
-5,397,1666.650025
-2,668,1667.113783
2,751,1667.672477
-3,716,1668.173347
1,849,1668.800253
-5,400,1669.098042
1,1004,1669.855257
3,687,1670.343359
-3,547,1670.727332
-1,767,1671.278101
-4,584,1671.722575
2,745,1672.477356
3,716,1673.159975
-1,775,1674.019211
-3,628,1674.620863
-3,742,1675.394405
-5,392,1675.751821
-5,419,1676.141105
3,743,1676.865018
1,986,1677.82555
-3,632,1678.476936
-5,491,1678.967552
1,960,1679.865437
1,825,1680.65648
1,813,1681.409851
-3,623,1681.984244
-5,419,1682.402839
-4,518,1682.904876
2,737,1683.600226
5,485,1684.127765
-3,702,1684.830724
-4,556,1685.388926
1,988,1686.416987
-3,688,1687.679609
-5,484,1688.352808
-5,455,1689.225475
-2,778,1690.403324
-2,701,1691.426587
3,609,1692.178577
-2,770,1693.282623
-3,689,1694.32888
-2,660,1695.294297
-3,579,1696.122082
-2,644,1697.070545
4,586,1697.915286
-3,596,1698.764016
-2,856,1699.916488
2,741,1700.741282
-1,707,1701.568072
-2,785,1702.568394
-3,654,1703.338337
-4,497,1703.886869
-4,500,1704.502223
-3,786,1705.403811
1,904,1707.368559
-4,550,1708.77879
1,962,1711.496261
-1,900,1716.572405
1,736,1719.92581
-5,381,1720.456391
-3,673,1721.397875
-5,550,1722.165371
-5,474,1722.782755
-2,755,1723.719225
-3,620,1724.484168
1,884,1725.694932
-4,848,1726.722953
-4,546,1727.476235
3,865,1728.789247
-1,820,1730.650273
-2,662,1731.798307
-1,939,1732.950505
5,504,1733.521971
1,822,1734.307711
-2,746,1735.004845
4,594,1735.553377
-5,479,1735.984225
-2,735,1736.663515
-2,764,1737.358651
2,857,1738.155582
-2,709,1738.84407
-4,532,1739.359074
-5,539,1739.882595
-2,802,1740.644618
2,728,1741.421303
-2,791,1742.266597
3,571,1742.787359
3,729,1743.469537
-1,870,1744.322792
