#{"t_start": 1669935032.9009788, "env_id": null}
r,l,t
-1,959,202.744608
3,676,203.347996
-2,988,204.217669
-3,547,204.695839
-4,575,205.299553
-4,701,206.020622
-2,759,206.718396
-1,898,207.595706
-5,416,208.01325
-5,448,208.451702
-4,716,209.274762
-5,660,209.92683
-2,734,210.676276
-2,713,211.323304
-2,716,212.00044
5,601,212.557446
-1,1020,213.499062
-3,700,214.125386
-1,732,214.778151
-4,717,215.443703
-3,825,216.223346
-2,762,217.037391
3,695,217.866552
4,622,218.521601
-2,734,219.256071
-1,769,219.945975
-4,564,220.474187
-1,836,221.412497
1,1012,222.439115
-5,441,222.850543
-1,832,223.601537
-2,752,224.343031
-4,780,225.12905
3,686,225.836053
2,854,226.76343
-4,600,227.410734
-2,707,228.184956
-4,460,228.682825
-4,614,229.347605
2,806,230.215311
-2,779,231.020598
-3,645,231.619993
-1,777,232.332481
-3,668,232.94064
-4,699,233.555984
-2,894,234.382912
-3,680,235.04941
-4,486,235.501775
-3,665,236.114028
-4,583,236.634636
-2,726,237.409992
2,784,238.198207
-3,692,238.913758
-3,541,239.435863
-1,920,240.380211
-2,981,241.285496
-3,1060,242.359463
-3,579,242.869092
-3,869,243.685087
-4,608,244.223647
-3,564,244.727537
-5,371,245.073236
-1,926,245.932009
-2,802,247.111425
-2,685,247.579173
-2,946,248.225119
-1,863,248.806564
-1,1005,249.51263
-5,497,249.884509
-2,751,250.409971
-4,630,250.870656
-5,648,251.368464
-4,544,251.753391
-1,843,252.371737
3,708,252.934254
-3,890,253.587378
-1,896,254.267313
2,869,254.885174
-5,506,255.239226
-4,507,255.592275
2,851,256.240242
-3,680,256.735606
-4,614,257.160293
-4,623,257.595772
-1,905,258.231615
-1,907,258.886021
1,827,259.458115
-2,671,259.923637
3,683,260.404665
-1,902,261.028954
-2,889,261.631342
3,645,262.077151
-4,516,262.440902
-2,712,262.926346
2,708,263.463659
-2,839,264.075185
-2,872,264.708843
-2,724,265.247852
-3,622,265.687715
-1,1043,266.437811
-1,909,267.055859
2,829,267.658517
-4,489,268.018533
-3,669,268.523729
-4,535,268.937034
-5,499,269.325289
-2,685,269.808357
-2,798,270.417758
-1,987,271.141953
-3,722,271.646704
-3,668,272.119974
-1,837,272.706599
-1,895,273.334583
-1,831,273.90435
1,925,274.585449
-2,887,275.223089
3,629,275.681348
-3,632,276.152453
-1,881,276.7798
-1,840,277.372684
-5,507,277.742829
-3,698,278.250399
1,930,278.912626
-2,721,279.421038
3,551,279.811284
-2,823,280.410943
-4,530,280.776127
-3,637,281.222461
-2,853,281.836483
-1,853,282.427148
-2,763,282.962817
3,785,283.54034
3,727,284.046163
-1,721,284.55565
1,787,285.149729
-5,578,285.578137
-5,473,285.937987
-3,678,286.431758
-4,518,286.837555
-3,734,287.362688
2,711,287.861326
1,842,288.454104
-5,525,288.809153
-2,762,289.512182
-3,695,290.002697
1,938,290.648583
-3,771,291.187376
-4,566,291.567846
3,624,292.017527
-1,829,292.588999
-3,647,293.038547
-2,655,293.47811
1,829,294.056286
-4,826,294.648379
-1,820,295.220053
-2,881,295.826431
-3,594,296.241547
-2,798,296.788983
-4,642,297.229168
-5,636,297.666499
-4,783,298.221925
-3,743,298.743405
-3,745,299.280058
-5,530,299.799984
-2,705,300.457803
-4,600,301.081949
1,865,302.074666
-1,789,302.769807
-4,487,303.200655
2,812,303.913748
-3,694,304.525694
-1,842,305.28669
-3,592,305.807299
-4,510,306.265731
-2,674,306.905645
-2,771,307.623746
-1,979,308.82283
-5,490,309.28357
-1,834,310.017608
-1,963,310.892848
-1,779,311.614183
-4,567,312.121896
-3,680,312.725282
-2,901,313.530651
-5,387,313.87605
-5,439,314.268001
3,606,314.80356
-3,699,315.441364
-4,608,315.978928
-5,402,316.332979
-4,855,317.158956
-1,936,318.032541
-4,624,318.595168
-4,562,319.107744
-3,572,319.705962
2,868,320.499179
2,960,321.42136
-2,814,322.21616
-2,689,323.033389
-5,436,323.449876
-1,825,324.188923
2,759,324.919325
-3,684,325.532346
-5,447,325.961002
2,786,326.668403
-2,753,327.413033
3,634,328.038127
-2,706,328.661789
1,932,329.537751
-4,645,330.128171
2,840,330.908355
-2,947,331.817429
-5,381,332.158375
-4,557,332.688021
-2,941,333.62676
-4,628,334.24287
-3,727,334.92027
-2,735,335.607518
5,709,336.311401
-3,626,336.915627
-2,767,337.630995
-2,854,339.381984
-4,531,339.880367
3,596,340.40696
-4,606,340.93754
-2,720,341.576837
-3,622,342.136922
-2,786,342.831065
-4,580,343.339704
-3,922,344.171223
-3,896,344.986716
-4,676,345.652278
2,883,346.440462
1,920,347.277581
-1,962,348.149237
2,834,348.94344
-3,819,349.705872
-3,665,350.328758
-1,932,351.163819
-2,928,352.040135
2,797,352.741246
-5,497,353.179581
-2,772,353.85671
2,665,354.454115
-4,483,354.880972
-1,1290,356.025685
-5,627,356.578218
-2,953,357.440642
-4,544,358.010295
-2,870,358.829315
-4,499,359.302256
-3,631,359.861813
-5,557,360.381956
-2,661,360.983647
-2,1131,362.005087
1,771,362.692674
-2,825,363.412748
-1,975,364.342663
2,851,365.161978
-2,788,365.873853
-5,443,366.304618
-1,802,367.020728
2,747,367.690452
2,805,368.428686
-5,392,368.774739
-4,523,369.258072
-4,618,369.810594
-4,702,370.484818
1,890,371.266112
-3,709,371.901568
-2,854,372.681784
-3,948,373.591803
-1,927,374.414327
1,761,375.159851
-3,665,375.765194
-4,512,376.221971
-3,623,376.768846
-3,839,377.511691
-4,588,378.050394
-2,1056,378.999856
-1,790,379.714941
-3,863,380.611074
-4,495,381.160364
-4,610,381.73178
-4,591,382.308186
-3,704,382.978606
-4,601,383.508191
-3,687,384.121552
2,695,384.746494
-4,644,385.348814
-4,470,385.783846
-3,696,386.403525
-2,697,387.020874
-4,827,387.876179
-3,679,388.534013
-5,395,388.893281
-4,855,389.763193
-1,769,390.44276
-1,936,391.260084
-2,823,392.048452
2,853,392.900496
-4,577,393.675424
-3,784,394.237883
-1,1093,395.023629
-5,479,395.349756
-3,749,395.871499
-4,649,396.32006
3,606,396.749581
-2,813,397.430341
-2,782,398.047798
-4,706,398.612564
-3,795,399.283769
-5,481,399.633995
-4,677,400.123321
-4,541,400.520757
-3,762,401.066944
-4,763,401.629382
2,787,402.192073
-2,875,402.812538
-3,552,403.194841
-3,646,403.669124
-4,589,404.075084
-3,713,404.559634
-3,715,405.056818
-3,830,405.667746
-2,804,406.261081
-2,726,406.76573
-3,650,407.202562
-2,726,407.70809
-3,658,408.183451
-5,413,408.477453
-2,855,409.055906
-3,617,409.496729
