loss_vf_loss,loss_ent,EpRewMean,EpThisIter,loss_kl,loss_pol_entpen,EpisodesSoFar,loss_pol_surr,TimeElapsed,TimestepsSoFar,EpLenMean,ev_tdlam_before
0.01505221,2.0720265,-5.0,6,0.007324822,0.0,6,-0.011589609,2.2950026988983154,4096,680.5,-2.439718246459961
0.012667915,2.0728285,-5.0,8,0.0058321925,0.0,14,-0.009864139,4.302998304367065,8192,582.2142857142857,0.5106028318405151
0.020993333,2.06922,-4.894736842105263,5,0.008710594,0.0,19,-0.011220537,6.312000036239624,12288,602.421052631579,0.7121289074420929
0.009856026,2.0588083,-4.92,6,0.0063433945,0.0,25,-0.010883303,8.233997821807861,16384,636.2,0.8762468695640564
0.013142306,2.0451787,-4.935483870967742,6,0.0068293335,0.0,31,-0.010772368,10.117998838424683,20480,645.7096774193549,0.8721826374530792
0.012821996,2.0219095,-4.948717948717949,8,0.0083712535,0.0,39,-0.012216161,12.06000280380249,24576,627.3076923076923,0.846651703119278
0.013905608,2.03013,-4.955555555555556,6,0.0070415447,0.0,45,-0.013188228,13.976999521255493,28672,630.2444444444444,0.8520483523607254
0.012720548,2.0330117,-4.96078431372549,6,0.0069402643,0.0,51,-0.013326041,15.997359275817871,32768,633.7843137254902,0.8154905587434769
0.012204865,2.0226269,-4.964912280701754,6,0.0071412455,0.0,57,-0.0100585325,18.155351638793945,36864,643.8421052631579,0.8702019602060318
0.01422645,2.0194557,-4.968253968253968,6,0.0066125803,0.0,63,-0.010377735,20.271044731140137,40960,646.5555555555555,0.843678429722786
0.016366173,2.0157409,-4.956521739130435,6,0.005903856,0.0,69,-0.009531503,22.25688600540161,45056,644.2608695652174,0.8424767851829529
0.013127655,2.013616,-4.96,6,0.008256775,0.0,75,-0.014190208,24.330419778823853,49152,652.24,0.8486171215772629
0.015772013,2.0069206,-4.938271604938271,6,0.0077718473,0.0,81,-0.012456418,26.355185985565186,53248,657.0493827160494,0.8255181759595871
0.013706243,2.0121818,-4.942528735632184,6,0.0068316474,0.0,87,-0.010828208,28.355462074279785,57344,655.3563218390805,0.8557999730110168
0.015129785,2.0097065,-4.946236559139785,6,0.0072981506,0.0,93,-0.011248773,30.33953070640564,61440,659.3440860215054,0.8325512558221817
0.013626611,2.007584,-4.94949494949495,6,0.0070908344,0.0,99,-0.011128949,32.32818555831909,65536,658.4242424242424,0.8590486496686935
0.012498202,1.9853996,-4.95,7,0.0044856165,0.0,106,-0.009919954,34.441445112228394,69632,654.83,0.8805802538990974
0.0131462375,1.9658556,-4.95,6,0.008493715,0.0,112,-0.011027029,36.4305305480957,73728,662.94,0.8551229238510132
0.014698327,1.9555455,-4.96,6,0.0064171287,0.0,118,-0.010117651,38.399863719940186,77824,666.05,0.8413693159818649
0.013843318,1.9216335,-4.96,6,0.008597305,0.0,124,-0.013757146,40.369508266448975,81920,659.77,0.843993753194809
0.011971802,1.8912265,-4.96,5,0.0071987966,0.0,129,-0.014321311,42.33214974403381,86016,671.46,0.8732868880033493
0.011174767,1.9166828,-4.96,6,0.007916445,0.0,135,-0.01281703,44.31495809555054,90112,671.77,0.8808265551924706
0.012455335,1.8858777,-4.96,6,0.0063368464,0.0,141,-0.012986246,46.291614294052124,94208,677.44,0.8625440448522568
0.012974969,1.8903736,-4.96,6,0.0059478274,0.0,147,-0.012173458,48.281065225601196,98304,681.45,0.8597926199436188
0.0151734855,1.9037652,-4.97,6,0.008168329,0.0,153,-0.012906361,71.00271534919739,102400,684.56,0.8286922574043274
0.013626246,1.869885,-4.97,7,0.008987771,0.0,160,-0.0152408425,72.9897575378418,106496,675.16,0.8557647466659546
0.0116242645,1.8449756,-4.97,7,0.008353097,0.0,167,-0.014870219,74.95993709564209,110592,674.14,0.8272097408771515
0.010774152,1.8553824,-4.97,7,0.0067213867,0.0,174,-0.013142834,77.04509139060974,114688,664.76,0.8657691478729248
0.011288884,1.8007629,-4.97,6,0.006824866,0.0,180,-0.011991683,79.11541223526001,118784,658.96,0.849957212805748
0.011886657,1.7867001,-4.97,6,0.007990558,0.0,186,-0.012527753,81.35936856269836,122880,662.62,0.8474319577217102
0.011571226,1.8069563,-4.97,6,0.0047610635,0.0,192,-0.012397882,83.52553009986877,126976,654.88,0.8433516770601273
0.015591239,1.7731222,-4.96,6,0.0066523915,0.0,198,-0.012831549,85.54216170310974,131072,660.6,0.7752515077590942
0.013317157,1.7575308,-4.95,6,0.007365963,0.0,204,-0.015088572,87.61279106140137,135168,665.34,0.8046364933252335
0.013380879,1.7018112,-4.95,6,0.009901939,0.0,210,-0.018184256,89.65591788291931,139264,664.6,0.8355092853307724
0.012137619,1.6930187,-4.92,7,0.006546177,0.0,217,-0.013186642,91.76378273963928,143360,664.8,0.85008405148983
0.010270041,1.5468801,-4.91,3,0.006184851,0.0,220,-0.013580936,93.91194105148315,147456,672.08,0.8298725634813309
0.013130712,1.6793799,-4.9,7,0.005204742,0.0,227,-0.012799334,95.80728602409363,151552,671.08,0.8558324426412582
0.012629452,1.6312621,-4.9,6,0.008364233,0.0,233,-0.015712101,97.83344054222107,155648,672.28,0.8599931448698044
0.012566152,1.6100525,-4.89,6,0.006538044,0.0,239,-0.011500549,99.71098256111145,159744,670.68,0.8442243486642838
0.01122313,1.6447582,-4.89,5,0.00667577,0.0,244,-0.014309061,101.59564661979675,163840,666.98,0.8532542884349823
0.010338572,1.5846082,-4.89,6,0.0060596443,0.0,250,-0.013235328,103.5319471359253,167936,677.59,0.8828519657254219
0.009197289,1.6256644,-4.88,6,0.0071150186,0.0,256,-0.01505268,105.57510995864868,172032,680.31,0.8964692950248718
0.011338687,1.6225712,-4.88,6,0.006744553,0.0,262,-0.014602677,107.63812518119812,176128,685.78,0.8543605357408524
0.011553938,1.6169859,-4.89,6,0.0056608003,0.0,268,-0.012459241,109.54233431816101,180224,692.53,0.8563679307699203
0.010235919,1.5694305,-4.88,4,0.0064951736,0.0,272,-0.01327269,111.60398173332214,184320,704.45,0.8635248988866806
0.0098688705,1.5501564,-4.88,6,0.007496805,0.0,278,-0.015206113,113.73211359977722,188416,706.58,0.8878097683191299
0.0077930214,1.4887887,-4.9,4,0.005260327,0.0,282,-0.01642526,115.80803680419922,192512,716.8,0.9058752059936523
0.009830356,1.5604963,-4.9,6,0.0046522706,0.0,288,-0.012557449,117.82639145851135,196608,724.72,0.8691981285810471
0.008997463,1.5262645,-4.89,4,0.006580697,0.0,292,-0.01389801,139.81895780563354,200704,734.68,0.8891957625746727
