loss_vf_loss,ev_tdlam_before,EpisodesSoFar,EpThisIter,loss_ent,loss_pol_entpen,TimestepsSoFar,EpLenMean,EpRewMean,TimeElapsed,loss_kl,loss_pol_surr
0.010436984,0.8677334785461426,8131,6,0.5892255,0.0,5992448,716.48,4.47,5905.974778652191,0.0013715153,-0.011747988
0.010827613,0.8385029286146164,8137,6,0.6297744,0.0,5996544,708.73,4.5,5908.724296331406,0.0016958732,-0.012148344
0.01154516,0.8706046044826508,8142,5,0.59779394,0.0,6000640,701.86,4.5,5946.0616137981415,0.0014025054,-0.010350982
0.013506999,0.8161457628011703,8148,6,0.6708822,0.0,6004736,717.94,4.51,5948.564784526825,0.0014990757,-0.010931207
0.012085804,0.8401889503002167,8153,5,0.60301626,0.0,6008832,719.55,4.53,5951.084147453308,0.0013966295,-0.010329297
0.014062934,0.8442404419183731,8159,6,0.63858193,0.0,6012928,718.25,4.51,5953.762588262558,0.001247407,-0.0110175125
0.010592289,0.8907033652067184,8165,6,0.5633132,0.0,6017024,714.15,4.53,5956.286435365677,0.0014381921,-0.011065135
0.010518716,0.847886249423027,8170,5,0.6103355,0.0,6021120,719.42,4.5,5958.798148870468,0.0013660442,-0.011525933
0.011985284,0.7986163198947906,8175,5,0.6337384,0.0,6025216,726.38,4.49,5961.504176855087,0.0014904474,-0.012450675
0.013560894,0.8437415212392807,8181,6,0.56348896,0.0,6029312,723.33,4.49,5964.21125793457,0.0016719073,-0.011781563
0.013587027,0.8525168895721436,8187,6,0.57498753,0.0,6033408,718.21,4.49,5966.926251649857,0.0014494368,-0.010981002
0.011656576,0.8729622513055801,8193,6,0.63519514,0.0,6037504,725.86,4.46,5969.670989751816,0.0017802848,-0.012835396
0.009322828,0.8893959298729897,8200,7,0.62708515,0.0,6041600,723.14,4.47,5972.199830532074,0.0013589142,-0.0097255455
0.010925666,0.8586249053478241,8206,6,0.6041546,0.0,6045696,719.46,4.48,5974.7479202747345,0.0017927226,-0.011148367
0.009243903,0.8779973313212395,8211,5,0.6397542,0.0,6049792,716.59,4.49,5977.396166801453,0.00149716,-0.011137703
0.010120037,0.8668444603681564,8217,6,0.5799523,0.0,6053888,711.85,4.52,5980.049712181091,0.0017547202,-0.009191043
0.009444668,0.8763613104820251,8225,8,0.53369534,0.0,6057984,696.49,4.57,5982.7511303424835,0.0014270524,-0.00987745
0.010008238,0.8703005313873291,8231,6,0.63744086,0.0,6062080,701.44,4.57,5985.549792766571,0.0016591349,-0.011542572
0.007994354,0.8817227929830551,8236,5,0.64578485,0.0,6066176,702.33,4.59,5988.231291770935,0.001708519,-0.0111041665
0.010327884,0.839355081319809,8241,5,0.64701474,0.0,6070272,715.22,4.61,5990.944680213928,0.0014044236,-0.0111528365
0.009281508,0.8761130645871162,8247,6,0.59407073,0.0,6074368,698.78,4.59,5993.625698328018,0.0013402307,-0.010533173
0.0094741285,0.868703231215477,8253,6,0.64088523,0.0,6078464,698.71,4.6,5996.33873128891,0.0012761707,-0.010820054
0.009505117,0.8749716430902481,8260,7,0.5243609,0.0,6082560,688.83,4.63,5999.065484285355,0.0014392983,-0.009618235
0.012928667,0.8631734848022461,8265,5,0.60971415,0.0,6086656,693.39,4.6,6001.885409832001,0.0015799172,-0.011872218
0.007986666,0.8940789476037025,8272,7,0.6454424,0.0,6090752,681.68,4.63,6004.475702047348,0.0013123818,-0.011112131
0.011153694,0.8373556584119797,8277,5,0.6637817,0.0,6094848,682.67,4.64,6006.987843751907,0.0016541728,-0.011946872
0.009977876,0.8487769663333893,8283,6,0.6020168,0.0,6098944,684.92,4.66,6009.495117664337,0.0012586302,-0.010165613
0.00863961,0.8827265202999115,8288,5,0.61026895,0.0,6103040,692.83,4.71,6044.134078025818,0.0014816255,-0.0115901
0.009849818,0.8426275849342346,8293,5,0.6810629,0.0,6107136,696.68,4.74,6046.699533700943,0.0017327478,-0.011334751
0.012461169,0.8515184223651886,8298,5,0.6213873,0.0,6111232,700.57,4.74,6049.468696117401,0.0013938015,-0.010924892
0.010342579,0.8885993659496307,8304,6,0.62681705,0.0,6115328,708.46,4.72,6052.043120622635,0.0014012506,-0.011954674
0.013241616,0.8571888357400894,8310,6,0.6294715,0.0,6119424,703.37,4.68,6054.7337527275085,0.0014903808,-0.010897314
0.011702892,0.8308455497026443,8317,7,0.50690633,0.0,6123520,698.46,4.69,6057.444514989853,0.0014096689,-0.011043489
0.012368524,0.7870916724205017,8321,4,0.68420637,0.0,6127616,712.14,4.62,6060.167345046997,0.001663825,-0.011071767
0.00998545,0.8568297177553177,8327,6,0.65973985,0.0,6131712,720.8,4.61,6062.708851099014,0.0022515878,-0.010010634
0.01413043,0.8210257887840271,8333,6,0.60101706,0.0,6135808,724.14,4.58,6065.312039852142,0.0014940841,-0.010921104
0.0116161145,0.8810330852866173,8339,6,0.63078874,0.0,6139904,720.04,4.55,6067.901142120361,0.001516246,-0.010837941
