EpLenMean,EpRewMean,TimeElapsed,EpThisIter,loss_vf_loss,EpisodesSoFar,TimestepsSoFar,loss_ent,loss_pol_entpen,ev_tdlam_before,loss_pol_surr,loss_kl
667.3333333333334,-2.5,3.2819948196411133,6,0.025918873,6,4096,2.0734532,0.0,-1.7385551929473877,-0.008628177,0.005965781
628.3333333333334,-3.3333333333333335,5.947994232177734,6,0.028698849,12,8192,2.0662997,0.0,0.37706053256988525,-0.010204513,0.0069893473
633.5263157894736,-2.8947368421052633,8.842994689941406,7,0.02503107,19,12288,2.058367,0.0,0.6149190366268158,-0.011867066,0.0060230643
641.16,-3.04,11.14599895477295,6,0.023363536,25,16384,2.0373602,0.0,0.7762292772531509,-0.010410995,0.007120921
627.6451612903226,-3.161290322580645,13.65499496459961,6,0.022897786,31,20480,2.015461,0.0,0.8202205151319504,-0.0124470135,0.008762
633.5526315789474,-3.210526315789474,16.225993871688843,7,0.021205496,38,24576,2.005131,0.0,0.851771205663681,-0.012575107,0.007383462
632.3777777777777,-3.1777777777777776,18.942995071411133,7,0.02464786,45,28672,2.0067854,0.0,0.8595423847436905,-0.011631848,0.008059207
628.4038461538462,-3.3653846153846154,21.101995944976807,7,0.023068326,52,32768,1.9812329,0.0,0.7982434183359146,-0.0097811455,0.0076337494
628.551724137931,-3.3275862068965516,23.55999445915222,6,0.023551736,58,36864,1.9912615,0.0,0.8357089906930923,-0.009553907,0.006023755
638.047619047619,-3.2698412698412698,25.96399450302124,5,0.036008757,63,40960,1.9712517,0.0,0.8125042170286179,-0.010115991,0.0064859097
651.072463768116,-3.1594202898550723,28.66399359703064,6,0.025257383,69,45056,1.964226,0.0,0.8746218532323837,-0.010794966,0.006385499
650.72,-3.1733333333333333,31.17899489402771,6,0.021121057,75,49152,1.9428807,0.0,0.891338624060154,-0.0102237435,0.0060076253
654.2469135802469,-3.185185185185185,33.78499698638916,6,0.033299092,81,53248,1.9354697,0.0,0.8019763082265854,-0.013049581,0.007213252
652.4367816091954,-3.1149425287356323,36.228992223739624,6,0.026695568,87,57344,1.9193959,0.0,0.849050909280777,-0.01159375,0.005716527
652.8829787234042,-3.1808510638297873,38.42399621009827,7,0.03123358,94,61440,1.886176,0.0,0.8306552171707153,-0.011793888,0.0069976747
653.74,-3.1,40.954994440078735,6,0.029736428,100,65536,1.9139854,0.0,0.8830307200551033,-0.011914031,0.0059475303
648.55,-3.14,43.30199432373047,7,0.028442066,107,69632,1.8859264,0.0,0.8770930841565132,-0.012046094,0.007896992
651.44,-3.07,45.993998527526855,6,0.026892943,113,73728,1.8749392,0.0,0.8820336386561394,-0.010273653,0.0062532
653.3,-3.13,48.16199851036072,6,0.028187279,119,77824,1.8457389,0.0,0.8411426544189453,-0.014647466,0.007577098
647.19,-3.26,50.288995027542114,8,0.019057974,127,81920,1.8344833,0.0,0.7834030240774155,-0.011646166,0.0064711445
646.94,-3.26,52.856993436813354,6,0.02292576,133,86016,1.8474288,0.0,0.7948329597711563,-0.013321923,0.0072411187
651.2,-3.28,54.98899269104004,6,0.017322678,139,90112,1.8583483,0.0,0.8282496184110641,-0.01143405,0.0062916703
